year,state,dem_pct,rep_pct
1976,AK,0.38108171226419174,0.6189182877358083
1976,AL,0.5666672397785496,0.43333276022145045
1976,AR,0.6504885147819915,0.34951148521800846
1976,AZ,0.41386696983103816,0.5861330301689619
1976,CA,0.49082172693181797,0.5091782730681821
1976,CO,0.4409245616838536,0.5590754383161465
1976,CT,0.4738998329378652,0.5261001670621348
1976,DC,0.8317772238685264,0.16822277613147366
1976,DE,0.527301380893124,0.47269861910687605
1976,FL,0.526802018720792,0.473197981279208
1976,GA,0.6693829485931742,0.3306170514068258
1976,HI,0.5128263123829938,0.4871736876170062
1976,IA,0.4948383414684765,0.5051616585315235
1976,ID,0.38267009374055033,0.6173299062594496
1976,IL,0.4899716625636061,0.510028337436394
1976,IN,0.46151222192305175,0.5384877780769483
1976,KS,0.4612445923746186,0.5387554076253813
1976,KY,0.5365402864664347,0.4634597135335653
1976,LA,0.5295957514788067,0.47040424852119334
1976,MA,0.5811462217110593,0.4188537782889406
1976,MD,0.5303541992343639,0.46964580076563617
1976,ME,0.49568821102904614,0.5043117889709539
1976,MI,0.4725622595013001,0.5274377404986998
1976,MN,0.566419819719711,0.433580180280289
1976,MO,0.5184190712575877,0.4815809287424124
1976,MS,0.509678885287533,0.490321114712467
1976,MT,0.46215653854013783,0.5378434614598622
1976,NC,0.5555329249846495,0.44446707501535054
1976,ND,0.4696198949482679,0.5303801050517322
1976,NE,0.39373548552603155,0.6062645144739685
1976,NH,0.44260747047185084,0.5573925295281492
1976,NJ,0.48899331526049294,0.511006684739507
1976,NM,0.4875523248345117,0.5124476751654883
1976,NV,0.4773060407118378,0.5226939592881622
1976,NY,0.5222458761462596,0.4777541238537404
1976,OH,0.5011635459664862,0.4988364540335138
1976,OK,0.49384779483374297,0.506152205166257
1976,OR,0.4991282682307967,0.5008717317692033
1976,PA,0.513571390921736,0.486428609078264
1976,RI,0.5567237731880602,0.4432762268119398
1976,SC,0.565661090449159,0.4343389095508409
1976,SD,0.4925696563319523,0.5074303436680477
1976,TN,0.5657294458053167,0.4342705541946833
1976,TX,0.5159850322837711,0.4840149677162289
1976,UT,0.35019941617405553,0.6498005838259445
1976,VA,0.4931358114453634,0.5068641885546367
1976,VT,0.43661363189943037,0.5633863681005696
1976,WA,0.47979706432204833,0.5202029356779516
1976,WI,0.5086164366749967,0.4913835633250033
1976,WV,0.5806951864533234,0.4193048135466766
1976,WY,0.40165595394821757,0.5983440460517825
1980,AK,0.32700814355158886,0.6729918564484112
1980,AL,0.49323661692960535,0.5067633830703947
1980,AR,0.4968029405707653,0.5031970594292348
1980,AZ,0.3178791316766491,0.682120868323351
1980,CA,0.4053337544079053,0.5946662455920947
1980,CO,0.36069659787135405,0.639303402128646
1980,CT,0.4444280367728735,0.5555719632271264
1980,DC,0.8481673005783359,0.15183269942166414
1980,DE,0.48733214749822584,0.5126678525017742
1980,FL,0.4094923705280309,0.5905076294719691
1980,GA,0.5766239969245167,0.4233760030754833
1980,HI,0.510840592350869,0.48915940764913096
1980,IA,0.42936849728791643,0.5706315027120836
1980,ID,0.2748677321266878,0.7251322678733122
1980,IL,0.45660337617889035,0.5433966238211096
1980,IN,0.4020267132985023,0.5979732867014976
1980,KS,0.3652451056147966,0.6347548943852034
1980,KY,0.4928725439873041,0.5071274560126958
1980,LA,0.4718911401140074,0.5281088598859925
1980,MA,0.49909326983143676,0.5009067301685632
1980,MD,0.516191380662185,0.483808619337815
1980,ME,0.4809051656597664,0.5190948343402336
1980,MI,0.46453589103201587,0.5354641089679841
1980,MN,0.5221361455718679,0.477863854428132
1980,MO,0.4643458565855658,0.5356541434144342
1980,MS,0.4932166779645438,0.5067833220354562
1980,MT,0.36334755545704733,0.6366524445429527
1980,NC,0.4890031737025543,0.5109968262974457
1980,ND,0.2901929024787089,0.7098070975212911
1980,NE,0.2841755487178086,0.7158244512821914
1980,NH,0.3293230762715197,0.6706769237284803
1980,NJ,0.4259085548536872,0.5740914451463127
1980,NM,0.4009173325688895,0.5990826674311105
1980,NV,0.3007267133699923,0.6992732866300078
1980,NY,0.48528521648898126,0.5147147835110187
1980,OH,0.4426451498992538,0.5573548501007461
1980,OK,0.366278667196309,0.633721332803691
1980,OR,0.44447406156426383,0.5555259384357362
1980,PA,0.46138364132883364,0.5386163586711663
1980,RI,0.5616605547453524,0.43833944525464763
1980,SC,0.4936270672982154,0.5063729327017845
1980,SD,0.3436654114190034,0.6563345885809966
1980,TN,0.4985007753951459,0.5014992246048541
1980,TX,0.4283265920618454,0.5716734079381546
1980,UT,0.22034814957984086,0.7796518504201592
1980,VA,0.4318413947087553,0.5681586052912446
1980,VT,0.4641069203760335,0.5358930796239665
1980,WA,0.429046539051112,0.570953460948888
1980,WI,0.4740969142143971,0.5259030857856029
1980,WV,0.5236978172012975,0.4763021827987025
1980,WY,0.3086737402187014,0.6913262597812986
1984,AK,0.30944087352283617,0.6905591264771639
1984,AL,0.38736604648681733,0.6126339535131827
1984,AR,0.3877241189805592,0.6122758810194409
1984,AZ,0.3288327242999399,0.6711672757000601
1984,CA,0.41775465177802334,0.5822453482219766
1984,CO,0.356342301643494,0.643657698356506
1984,CT,0.39000831236981964,0.6099916876301803
1984,DC,0.8614773394710076,0.1385226605289924
1984,DE,0.40046327300804424,0.5995367269919557
1984,FL,0.34667586786454524,0.6533241321354548
1984,GA,0.398021798518602,0.601978201481398
1984,HI,0.442962757823506,0.557037242176494
1984,IA,0.4627617466997986,0.5372382533002015
1984,ID,0.2672442880258501,0.7327557119741499
1984,IL,0.4352674669277925,0.5647325330722075
