year,state,american_indian,asian,black,more_than_one,pacific_islander,white,hispanic,white_non_hispanic
2010,AL,0.006867809811025524,0.011647233714079617,0.2635624929735865,0.013553612004896444,0.001079507864776908,0.703289343631635,0.03888694088033177,0.03251061432481443
2010,AK,0.1494421427991182,0.05503360028684196,0.03448686381449392,0.06952696286461003,0.010920443372521996,0.6805899868624139,0.056039227879694446,0.03921947612124675
2010,AR,0.05251912571546829,0.029677516823668846,0.04405274449217788,0.024039297418492724,0.002526164515644709,0.8471851510345475,0.29706046594672175,0.26851446356383035
2010,AZ,0.008984947970532491,0.012994533192698969,0.1557331661417975,0.016961681698618548,0.0023299126145876897,0.8029957583817648,0.06415199462833308,0.05748840348282237
2010,CA,0.016704783417806485,0.1356791279637616,0.06662848292650903,0.03478763811460749,0.004878863759075337,0.74132110381824,0.3767719868004839,0.33894401191868606
2010,CO,0.0155547089383559,0.029002054268426652,0.0428155186121395,0.026471910370578614,0.0016863663658666134,0.8844694414446327,0.20694659318135036,0.18348407015775411
2010,CT,0.004708909013339115,0.03958735719117237,0.10992399640922637,0.019852071973050757,0.000980114680123034,0.8249475507330883,0.13478001761859512,0.11077978069235547
2010,DE,0.006584804929044392,0.032812869936764084,0.2190247952808157,0.0223243116466792,0.0007703021296130594,0.7184829160770836,0.0819599242814126,0.06477985254216376
2010,DC,0.00542061386262932,0.036255827862054384,0.5140033901553326,0.023964036597817217,0.0013167416179565889,0.4190393899042099,0.0922346939112678,0.0688142056099471
2010,FL,0.0047424557905561895,0.02534417785113909,0.16407452707962578,0.01776103471145263,0.0010021148624416148,0.7870756897047847,0.22553941143288575,0.20733446626187652
2010,GA,0.00501389539702039,0.03365835722851516,0.3095370991295595,0.017277840705446103,0.001088526822270814,0.633424280717188,0.08821412306922143,0.0740819107167072
2010,HI,0.003684739927448893,0.39016821065040863,0.016645112477676017,0.23141501051316565,0.1019212553628875,0.2561656710684133,0.08955618898478304,0.028362820050381085
2010,ID,0.016497763268715236,0.01278123068284761,0.006972795719939725,0.020449205159856102,0.001781873022926257,0.9415171321457151,0.11268261970347952,0.10106511316708036
2010,IL,0.005755207430837243,0.04737376801374085,0.1482873195802826,0.01654135396900988,0.0005784801190292157,0.7814638708871002,0.15842598581290748,0.1444565631754727
2010,IN,0.003777180842008118,0.016533254860331668,0.0932581266162909,0.0167189092458195,0.0005454079042547209,0.8691671205312951,0.06030901825806884,0.05332687266343171
2010,IA,0.004495186374544016,0.017970584292283483,0.030309238273394785,0.014853060768272388,0.00080568529303115,0.9315662449984742,0.05023896861793505,0.045103626272158394
2010,KS,0.011598290711921144,0.024562444503065845,0.060826039283957474,0.025850638114157325,0.0010034055612738633,0.8761591818256244,0.10571934172676721,0.09421866264371476
2010,KY,0.0027973095787386074,0.011683895738817202,0.07922705580637208,0.01553537065041817,0.000738651625033575,0.8900177166006203,0.030857332612159144,0.026497402301134378
2010,LA,0.007298935998160469,0.015933292772686916,0.32297225189701706,0.013364109548951677,0.00056990275346645,0.6398615070297174,0.04268967694875386,0.03588935084995825
2010,ME,0.006608664475829868,0.010431958398705685,0.01236846128990224,0.014654453617705255,0.00028396016724274676,0.9556525020506142,0.012808335925631058,0.010773915735385279
2010,MD,0.005357601872863109,0.05697984239867993,0.3001910245744184,0.024024734728398917,0.0009395755654382683,0.6125072208602014,0.08208839714869307,0.06546228016108392
2010,MA,0.00457416804234867,0.05540262303470374,0.077348761277039,0.018945577816899265,0.0009111482020699191,0.8428177216269394,0.09654165727547956,0.07495979556654747
2010,MI,0.0069344801169758195,0.024776167725814285,0.14323099029045222,0.020683978097101957,0.0003507938216147105,0.804023589948041,0.04433730187615469,0.037580699030341086
2010,MN,0.01275067624640035,0.04138010376329286,0.053245248387571754,0.02116106131237933,0.0005652489750390421,0.8708976613153167,0.04737791883687502,0.04020949987328029
2010,MS,0.005664820247659155,0.008993087290005605,0.37200647004071546,0.010111710874684198,0.0005692423959348485,0.6026546691510007,0.027605058211851753,0.022239165963950227
2010,MO,0.0051256744187753054,0.016879669397835823,0.11694622945056353,0.018873802573644252,0.0012086211528881576,0.840966003006293,0.03567091816015406,0.030609118710546158
2010,MT,0.06431520192181522,0.006607249200084786,0.0042917848455179515,0.023391842378851956,0.0007469239853441402,0.900646997668386,0.029141138352527934,0.0225015897368607
2010,NE,0.012948249089550615,0.018428162359784235,0.047178850355079356,0.01782310909924677,0.0011439715215039864,0.902477657574835,0.09248515105288559,0.0814187433147627
2010,NV,0.015920914211116223,0.07582101349018662,0.08578259326700667,0.03616118954309796,0.0071567517723515744,0.779157537716241,0.26584182028157066,0.2373180515844133
2010,NH,0.0026921181312067753,0.02215130994899025,0.012543220077050016,0.014351381789434594,0.0003986916837471247,0.9478632783695713,0.028042074502945383,0.023765062002252417
2010,NJ,0.005696832677402261,0.08527850203382006,0.1459017159138678,0.01828989103979328,0.0008822141290405504,0.743950844206076,0.17777881824672925,0.14948728051329566
2010,NM,0.1015308430534715,0.015247886529879193,0.023870805874609005,0.022438092544175326,0.001522802809629306,0.8353895691882357,0.4640189401021208,0.4294580003816694
2010,NY,0.009462547234643213,0.07679996799992743,0.17444256059137453,0.021284893635841236,0.001240930649533432,0.7167690998886802,0.17684101963942597,0.1323110732828466
2010,NC,0.015462078464802551,0.022852058564203193,0.21895745675061043,0.01850482099173792,0.0010852688565333268,0.7231383163721126,0.08419967192315156,0.06975695868207774
2010,ND,0.05504540927629707,0.010664659015460496,0.012629825476619559,0.016278573461064212,0.000500924784217016,0.9048806079863416,0.02046381485345727,0.016177795693825287
