year,nasdaq_1,nasdaq_3,nasdaq_6,nasdaq_12,nasdaq_48,spy_1,spy_3,spy_6,spy_12,spy_48
2009,-0.004024340455314412,0.02020800454045335,0.1919497440670077,0.18702681410854227,-0.030675717225231325,0.061606818045938594,0.07811506821628145,0.2005579995717217,0.25198115825116885,-0.047300941816806885
2010,0.056560160286829086,0.09126237278683957,0.002441230380111792,0.22235018543821994,0.07303532032471582,0.0,0.131178310799259,0.09436851805096924,0.0990634947015252,-0.08230056801735397
2011,0.11607437185069114,-0.05015284503080586,-0.08977402865841733,0.040769071078392116,-0.06722054650908993,-0.004063492294482773,0.027954906750071062,-0.06405105536590794,0.07582854162983477,-0.08385730241602574
2012,-0.030020587564597134,0.03419274641207304,-0.009959218997915076,0.15846042900543167,0.7494105993639686,0.005659754299754294,0.012389088819334093,0.09263982644056368,0.16164400467557294,0.7196366530357452
2013,0.027255250158460642,0.06700691561427097,0.18881038334348754,0.2986629404713814,0.9139371462033965,0.029638066670731433,0.11141040209641351,0.11865835889124665,0.301164032663747,0.7871909233090011
2014,0.04903111424688311,0.06576928025290396,0.12391670401821941,0.18277987985844102,0.8519785694894682,0.027471926245590694,0.03716062638831352,0.0855617715728314,0.1670150479553112,0.8976871774247788
2015,0.1080746388651157,0.0023009043316428723,0.024325776812595956,0.10524886234050657,0.9667160217264552,0.0036554044777523664,0.06123843074565549,-0.0016322510430296644,0.02753340738891108,0.8124978991758816
2016,-0.027786004938811892,-0.0059064079317927565,0.06974234004969282,0.0051549106228607755,0.7064495407376012,0.03683854534919617,0.018921850384831407,0.06102326625035803,0.07875454394262427,0.6831665611432371
2017,0.030661130139088222,0.05557022382735033,0.10258881082145899,0.30327461686827406,0.712509306381373,0.03056582170804467,0.07610461249295475,0.10844915918094711,0.22684647950086956,0.5870304728026625
2018,-0.07505505580232164,-0.03545022663622788,0.04254236924465937,0.10683046156274156,0.6025445632702511,0.018548885852912145,-0.04620004244758613,0.026578216923138775,0.05913930044850901,0.44032962359800254
2019,0.060404517568038996,0.033938592944007695,0.04183541127305057,0.12810496552354955,0.6356845420945361,0.03619829487377091,0.07971094379103638,0.15267646694765613,0.16290968204288236,0.6300912968577936
2020,-0.03256960882036919,0.005027148989250607,0.2734077478660537,0.30659281694171536,1.126213234295383,0.10877689764571108,0.04064955134521964,0.19975321939901125,0.17419577350779214,0.7743112387798754
2021,0.07065567355681113,0.062314940259804,0.12240268525928522,0.4232957734396461,1.3220204480587445,-0.008034822105442041,0.012090310913593916,0.0915976509892682,0.27596904635064945,0.8453541311837725
2022,0.006973370453139616,-0.1195029824609628,-0.13123543197920873,-0.30168595376226603,0.46499355668369646,0.055591522970956486,0.03586885766020642,-0.004376184640425329,-0.09155988325761866,0.5827887055590582
2023,-0.0185079844331546,-0.08558160895721134,0.06950772153349805,0.19930675750744875,0.557458504244968,0.09134381342304865,0.017008647470546645,0.10018232569849261,0.13712903436053092,0.5476997226365492
