year,state,hs_higher_pct,bachelor_higher_pct
2009,HI,0.904,0.29600000000000004
2009,ID,0.884,0.239
2009,IL,0.8640000000000001,0.306
2009,IN,0.866,0.225
2009,IA,0.905,0.251
2009,KS,0.897,0.295
2009,KY,0.8170000000000001,0.21
2009,LA,0.8220000000000001,0.214
2009,ME,0.902,0.26899999999999996
2009,MD,0.882,0.35700000000000004
2009,MA,0.89,0.382
2009,MI,0.879,0.24600000000000002
2009,MN,0.915,0.315
2009,MS,0.804,0.196
2009,MO,0.868,0.252
2009,MT,0.9079999999999999,0.27399999999999997
2009,NE,0.898,0.27399999999999997
2009,NV,0.8390000000000001,0.218
2009,NH,0.9129999999999999,0.32
2009,NJ,0.8740000000000001,0.345
2009,NM,0.828,0.253
2009,NY,0.847,0.324
2009,NC,0.843,0.265
2009,ND,0.9009999999999999,0.258
2009,OH,0.8759999999999999,0.24100000000000002
2009,OK,0.856,0.22699999999999998
2009,OR,0.8909999999999999,0.292
2009,PA,0.879,0.264
2009,RI,0.847,0.305
2009,SC,0.836,0.243
2009,SD,0.899,0.251
2009,TN,0.831,0.23
2009,TX,0.799,0.255
2009,UT,0.904,0.285
2009,VT,0.91,0.331
2009,VA,0.866,0.34
2009,WA,0.897,0.31
2009,WV,0.828,0.17300000000000001
2009,WI,0.898,0.257
2009,WY,0.9179999999999999,0.23800000000000002
2010,AL,0.821,0.21899999999999997
2010,AK,0.91,0.27899999999999997
2010,AZ,0.856,0.259
2010,AR,0.8290000000000001,0.195
2010,CA,0.807,0.301
2010,CO,0.897,0.364
2010,CT,0.8859999999999999,0.355
2010,DE,0.877,0.278
2010,DC,0.8740000000000001,0.501
2010,FL,0.855,0.258
2010,GA,0.843,0.273
2010,HI,0.899,0.295
2010,ID,0.883,0.244
2010,IL,0.8690000000000001,0.308
2010,IN,0.87,0.22699999999999998
2010,IA,0.9059999999999999,0.249
2010,KS,0.892,0.298
2010,KY,0.8190000000000001,0.205
2010,LA,0.8190000000000001,0.214
2010,ME,0.903,0.268
2010,MD,0.8809999999999999,0.361
2010,MA,0.8909999999999999,0.39
2010,MI,0.887,0.252
2010,MN,0.9179999999999999,0.318
2010,MS,0.81,0.195
2010,MO,0.8690000000000001,0.256
2010,MT,0.917,0.28800000000000003
2010,NE,0.904,0.28600000000000003
2010,NV,0.847,0.217
2010,NH,0.915,0.32799999999999996
2010,NJ,0.88,0.354
2010,NM,0.833,0.25
2010,NY,0.8490000000000001,0.325
2010,NC,0.847,0.265
2010,ND,0.903,0.276
2010,OH,0.8809999999999999,0.24600000000000002
2010,OK,0.862,0.22899999999999998
2010,OR,0.888,0.28800000000000003
2010,PA,0.884,0.271
2010,RI,0.835,0.302
2010,SC,0.841,0.245
2010,SD,0.8959999999999999,0.263
