year,state,gdp_1,gdp_4
2012,MD,0.0039035873076074257,0.06918626210724099
2013,MD,0.008494813334815943,0.08429556050240605
2014,MD,0.015661492151564982,0.0502548189581562
2015,MD,0.022687021441422317,0.0516165360611891
2016,MD,0.0348650638858401,0.08404953178128904
2017,MD,0.01980758304165131,0.09620983497937097
2018,MD,0.006920939820797223,0.086776101888002
2019,MD,-0.00033467426653044363,0.06231169763157829
2020,MD,-0.034333367632153666,-0.008722010843705275
2021,MD,0.04471442914784696,0.015488054598969958
2022,MD,0.015711300148088636,0.02435320533222818
2023,MD,0.021136715447123144,0.04635485559451036
1997,MA,,
1998,MA,0.04067900390179724,
1999,MA,0.05464458886381229,
2000,MA,0.0812849612774662,
2001,MA,0.014587574059147013,0.20407246008637348
2002,MA,0.0006976130710225625,0.1578137276292053
2003,MA,0.02218629038984532,0.12218024129128047
2004,MA,0.027239788258943687,0.06609102570938408
2005,MA,0.022529824509789353,0.07443644817054329
2006,MA,0.023618020330127276,0.09904580133020424
2007,MA,0.031498894070894234,0.10905863174216912
2008,MA,0.016243018998859604,0.09718597843515098
2009,MA,-0.013896821374719925,0.05809977855333659
2010,MA,0.0476384272557282,0.08292934069854252
2011,MA,0.022350879500132814,0.07332520690377131
2012,MA,0.02247260899543302,0.07990471185189363
2013,MA,0.007667297831533748,0.10352008440371296
2014,MA,0.019012845801510414,0.07336759739995702
2015,MA,0.036569807732338644,0.08829606974759896
2016,MA,0.014121536465780293,0.07940738233217037
2017,MA,0.016230024452577485,0.08857972557238147
2018,MA,0.03609062240275662,0.10682338309109363
2019,MA,0.031759154691357594,0.10168668777739898
2020,MA,-0.018545412067134448,0.0661990849261247
2021,MA,0.06421310889462783,0.1165415462715329
2022,MA,0.021027129900331287,0.10030839557289672
2023,MA,0.017854823393496977,0.0854802717880978
1997,MI,,
1998,MI,0.01845393588718447,
1999,MI,0.06112884537752428,
2000,MI,0.021888061645284562,
2001,MI,-0.030691254054275974,0.07047115216131505
2002,MI,0.027546566689057972,0.0800281862378538
2003,MI,0.024253502234061752,0.042496071127022805
2004,MI,0.016762826948802045,0.0372674778639952
2005,MI,0.017963122576830637,0.0893330377243402
2006,MI,-0.02031748719056825,0.03859091381408364
2007,MI,-0.0017126133508184038,0.012261326798095107
2008,MI,-0.05731287703047461,-0.061486422830581255
2009,MI,-0.08557721391030604,-0.1569456879284029
2010,MI,0.05999177030058589,-0.08783649699977425
2011,MI,0.02882035209615852,-0.05993766036057435
2012,MI,0.02051480971679709,0.01767332584012493
2013,MI,0.02045596117958337,0.13567906190074353
2014,MI,0.01428783245649834,0.08671169563409387
2015,MI,0.023113646160060508,0.08068387544987332
2016,MI,0.019446466268000062,0.07955254298162795
2017,MI,0.009880848009484966,0.06836500451901606
2018,MI,0.02324582286926491,0.07780059386709914
2019,MI,0.001939080146195371,0.055494215772859956
2020,MI,-0.029664270326344666,0.004646917633275072
2021,MI,0.05774575374285762,0.05226375292886676
2022,MI,0.01580094073377225,0.04460774355074926
2023,MI,0.014583489998670318,0.05779062932320311
1997,MN,,
1998,MN,0.05430053091112619,
1999,MN,0.03903981087311337,
2000,MN,0.06615623103527968,
2001,MN,0.0006573111531007481,0.16869943848753088
2002,MN,0.020735150864056306,0.13149198229880033
2003,MN,0.04392139571749576,0.1368079230881032
2004,MN,0.046143671814040665,0.1154691781446131
2005,MN,0.027258531716515044,0.1451225283063402
2006,MN,0.0016950489327323126,0.12376218851168197
2007,MN,0.00640249681827032,0.08337378368493376
2008,MN,0.016706989954241802,0.052889510573306486
2009,MN,-0.04014091610990844,-0.016191611115014104
2010,MN,0.037782542967550015,0.01925149045878105
2011,MN,0.023114531735498378,0.03617689212643982
2012,MN,0.01852904049416715,0.038033834868460126
2013,MN,0.02716241727635138,0.11081862008008758
2014,MN,0.026834700681829693,0.09910030091670707
2015,MN,0.020176662072582507,0.09594423839349431
2016,MN,0.014900297056472,0.09203968554812736
2017,MN,0.011746314070933739,0.07564987590004701
2018,MN,0.028410425180965593,0.07730050950331613
2019,MN,0.010660644731889768,0.067251651584195
2020,MN,-0.028646117985172803,0.021458992434761237
2021,MN,0.046369278848409134,0.05641433472249657
2022,MN,0.011683509311822604,0.03923194015784559
2023,MN,0.011888586866924289,0.040494596118622495
1997,MS,,
1998,MS,0.0291431849321655,
1999,MS,0.02899732959836232,
2000,MS,0.0038387695424140222,
2001,MS,-0.004698958033994227,0.05805555964124842
2002,MS,0.011185311525896857,0.039593184264309134
2003,MS,0.04442188417061921,0.05517656950972105
2004,MS,0.02640081569751951,0.07889247208829575
2005,MS,0.022909257715585163,0.10881939357646586
2006,MS,0.021101957917597947,0.11969353278025396
2007,MS,0.017321512392814986,0.09064003296811207
2008,MS,0.015969155327214102,0.07955548759735431
2009,MS,-0.03722791819726956,0.01608806096528359
2010,MS,0.01283029612756259,0.007857015354189034
2011,MS,-0.002068187398207133,-0.011352295293365011
2012,MS,0.020240189086224047,-0.007196118208235069
2013,MS,0.0035546474115595306,0.03485858010630216
2014,MS,0.0024478894863650957,0.024250364064705154
