year,state,dem_pct,rep_pct
1976,AK,0.2899860917941586,0.7100139082058414
1976,AL,0.7179309478713722,0.28206905212862776
1976,AR,0.6381025994385796,0.36189740056142033
1976,AZ,0.5095977920622267,0.49040220793777334
1976,CA,0.5900554750338338,0.4099445249661662
1976,CO,0.45768972932672797,0.5423102706732721
1976,CT,0.5109380548689085,0.4890619451310914
1976,DE,0.48069674766600795,0.519303252333992
1976,FL,0.6760028938149656,0.3239971061850344
1976,GA,0.7791805137735539,0.22081948622644618
1976,HI,0.6830689997532733,0.31693100024672677
1976,IA,0.5748826003799777,0.4251173996200223
1976,ID,0.47405228246682807,0.5259477175331719
1976,IL,0.5371114006683564,0.4628885993316436
1976,IN,0.572689068279938,0.4273109317200619
1976,KS,0.3930501327788628,0.6069498672211371
1976,KY,0.6353219813757459,0.3646780186242541
1976,LA,0.6703068457165383,0.32969315428346163
1976,MA,0.661964960841123,0.33803503915887706
1976,MD,0.6412496919299155,0.3587503080700844
1976,ME,0.31467437346323013,0.6853256265367699
1976,MI,0.5820812232906658,0.41791877670933414
1976,MN,0.5976295541917235,0.4023704458082766
1976,MO,0.5826034172539002,0.4173965827460998
1976,MS,0.623326632574955,0.376673367425045
1976,MT,0.5574542824306584,0.4425457175693416
1976,NC,0.6771171011316253,0.3228828988683748
1976,ND,0.36547474244692074,0.6345252575530792
1976,NE,0.3557046774222368,0.6442953225777631
1976,NH,0.5431021949090551,0.45689780509094485
1976,NJ,0.5707484905958611,0.4292515094041389
1976,NM,0.48935114118643047,0.5106488588135696
1976,NV,0.8645632158095666,0.13543678419043342
1976,NY,0.6440779994464609,0.35592200055353906
1976,OH,0.4934026450768234,0.5065973549231766
1976,OK,0.6470261447069703,0.35297385529302966
1976,OR,0.6835772596748465,0.3164227403251535
1976,PA,0.5483870548581501,0.45161294514184985
1976,RI,0.7020980609172465,0.29790193908275353
1976,SC,0.6530069342010195,0.34699306579898054
1976,SD,0.24840568308159505,0.751594316918405
1976,TN,0.6630119593552486,0.3369880406447514
1976,TX,0.683228068246233,0.316771931753767
1976,UT,0.5136480306194433,0.4863519693805568
1976,VA,0.5306568429406742,0.46934315705932594
1976,VT,0.32601537961659266,0.6739846203834073
1976,WA,0.5916027077371613,0.4083972922628387
1976,WI,0.6272979852414304,0.3727020147585696
1976,WV,0.7586805207325857,0.2413194792674142
1976,WY,0.564444122527458,0.43555587747254193
1978,AK,0.4450143966706187,0.5549856033293813
1978,AL,0.7300173507220385,0.2699826492779614
1978,AR,0.6758060925118797,0.32419390748812027
1978,AZ,0.5062732847341748,0.49372671526582523
1978,CA,0.5419043233265959,0.4580956766734041
1978,CO,0.48155430289505086,0.5184456971049491
1978,CT,0.5792289979770523,0.42077100202294776
1978,DE,0.41432239766978385,0.5856776023302162
1978,FL,0.6693551074288706,0.3306448925711294
1978,GA,0.8454406922423094,0.1545593077576905
1978,HI,0.8313063871445998,0.1686936128554002
1978,IA,0.4975364037361017,0.5024635962638982
1978,ID,0.4138508184194888,0.5861491815805113
1978,IL,0.4966609673011935,0.5033390326988064
1978,IN,0.5346770787823023,0.46532292121769775
1978,KS,0.3191239885788063,0.6808760114211937
1978,KY,0.6383718673145589,0.3616281326854411
1978,LA,0.5626270053475936,0.4373729946524064
1978,MA,0.7118946417840366,0.28810535821596345
1978,MD,0.684603411743851,0.315396588256149
1978,ME,0.4068403931428751,0.5931596068571249
1978,MI,0.6007010908108579,0.3992989091891421
1978,MN,0.5205618647575739,0.47943813524242607
1978,MO,0.6354871413344274,0.36451285866557254
1978,MS,0.5122437816352892,0.48775621836471095
1978,MT,0.5022030792112488,0.49779692078875115
1978,NC,0.6008068910070258,0.39919310899297417
1978,ND,0.315285915597419,0.6847140844025811
1978,NE,0.38056619441377565,0.6194338055862244
1978,NH,0.473010496219454,0.526989503780546
1978,NJ,0.5750891348551129,0.42491086514488696
1978,NM,0.6873609904891016,0.31263900951089835
1978,NV,0.7489233516825102,0.2510766483174897
1978,NY,0.5867262223692673,0.4132737776307327
1978,OH,0.4804362649467401,0.5195637350532599
1978,OK,0.6155785579112596,0.3844214420887404
1978,OR,0.6831449286689883,0.31685507133101165
1978,PA,0.5137668020518508,0.48623319794814923
1978,RI,0.5692618296468637,0.43073817035313644
1978,SC,0.6905759887410197,0.3094240112589803
1978,SD,0.4700541730110307,0.5299458269889694
1978,TN,0.5882160582027844,0.4117839417972156
1978,TX,0.624693946417949,0.3753060535820511
1978,UT,0.4433262244261751,0.5566737755738249
1978,VA,0.39471310765164963,0.6052868923483504
1978,VT,0.20390463148284702,0.796095368517153
1978,WA,0.5341017997700466,0.4658982002299535
1978,WI,0.5423550769057999,0.45764492309420013
1978,WV,0.6948359131658912,0.30516408683410884
1978,WY,0.4136902231463088,0.5863097768536911
1980,AK,0.2592152508587049,0.7407847491412951
1980,AL,0.6533221333708733,0.3466778666291267
1980,AR,0.5524733649082045,0.44752663509179547
1980,AZ,0.4681366566206514,0.5318633433793486
1980,CA,0.5011747469046308,0.4988252530953691
1980,CO,0.46168490001822543,0.5383150999817745
1980,CT,0.5173929628052293,0.48260703719477077
1980,DE,0.37767879145762523,0.6223212085423748
1980,FL,0.5821391170297507,0.41786088297024926
1980,GA,0.7489584271563685,0.25104157284363143
1980,HI,0.8655503199800394,0.13444968001996058
1980,IA,0.5130726974642439,0.48692730253575617
1980,ID,0.4373649154132616,0.5626350845867385
1980,IL,0.5014504763373518,0.4985495236626481
1980,IN,0.5018913375569654,0.49810866244303464
1980,KS,0.43811123557638004,0.5618887644236199
