state,result_house_2,result_house_8,result_pres_4,result_pres_8,result_pres_12,white_evangelist_pct,unemployment_pct,unemployment_pct_1,asian,bachelor_higher_pct
AK,0.006404810753621916,0.3342913399148604,0.21125614023602132,0.33862527465071823,0.2947266725119379,-2.4423470353692043,-2.9764758887927663,0.006500000000000006,-2.629034909231087,-0.8188868585544237
AL,0.944361879885154,0.6696089565622332,0.5284166639943437,0.5916403777329848,0.4564104285188136,-0.8472978603872036,-3.493421139263291,0.004499999999999997,-4.126243855731833,-0.9051174312760298
AR,0.7978052035443334,0.9670667162953304,0.5845963218944495,0.5877615510355547,0.49610711462569895,-0.8953840470548413,-3.3266948543642343,0.0016666666666666635,-3.9735429769974755,-1.0773913331852243
AZ,0.2771718156666205,-0.07398466929682379,-0.006273287738411709,0.07563697504924806,0.185061568745505,-2.197224577336219,-3.367295829986474,-0.005666666666666667,-3.196007455620235,-0.7081850579244856
CA,-0.5857864457394706,-0.6414685888649079,-0.6150377100669238,-0.6690133895440825,-0.4841531997346826,-2.9444389791664403,-2.8930137673590033,0.004500000000000011,-1.6387158913070794,-0.5322168137473082
CO,-0.2646228704685892,0.0341790073297425,-0.27933504946347104,-0.10743655732115709,-0.11003040701108276,-1.5856272637403817,-3.213343307298475,0.006666666666666668,-3.243885599479741,-0.1643690687859368
CT,-0.3136575705242637,-0.5555199135554749,-0.41359880854504677,-0.28762859627763193,-0.35457174651425044,-2.751535313041949,-3.1354942159291497,0.0036666666666666722,-2.908672138080872,-0.32687983692977346
DC,0.0,0.0,-2.837511573432712,-3.1014346312723298,-2.5250081191359026,-4.59511985013459,-2.889668275630079,0.0036666666666666653,-3.016626928920233,0.6366685763994745
DE,-0.2554087550256011,-0.3041703664074257,-0.38993661954662434,-0.24110610910213492,-0.38247352874388224,-2.5866893440979424,-3.160829842714057,0.0006666666666666626,-3.086050344927022,-0.5537276453102001
FL,0.3529416315950909,0.14230846944768172,0.0678161652657178,0.02475468296100245,-0.017690546922968124,-1.9924301646902063,-3.420311777685471,0.0026666666666667616,-3.4308092958123044,-0.6499535713186709
GA,0.0716260540191413,0.48249579807299836,-0.0047731955787924645,0.10654758713959246,0.158597566061247,-1.3249254147435987,-3.3829265754526197,0.0008333333333333387,-2.993102148784911,-0.6322523493295719
HI,-0.7884062637877289,-1.299261857211202,-0.620475326589646,-0.7282146814071174,-0.9298186152504417,-3.8918202981106265,-3.5169659726452953,-0.0011666666666666665,-0.5264974179503221,-0.6015025906488274
IA,0.2691957693707699,0.1884712631921393,0.167722602382534,0.2032386162432676,-0.11851259401255242,-1.3862943611198906,-3.493421139263291,0.0005000000000000976,-3.558293715805492,-0.7400189496896188
ID,0.7683908300815889,0.7614203967125689,0.657824081310319,0.7680631567948254,0.682129744532931,-1.7346010553881064,-3.2827805046177585,0.005166666666666667,-4.081137840460033,-0.7400189496896188
IL,-0.3491772326058772,-0.22164226545065294,-0.3498880758032072,-0.36479435148200706,-0.3465274164024916,-2.3136349291806306,-2.9201448813638846,0.0061666666666666675,-2.706347791421052,-0.5023013313394423
IN,0.42125457682560025,0.3181934390414574,0.33078546409931847,0.41035540503053053,0.20876996160499223,-1.2083112059245342,-3.1867692419729994,0.006666666666666661,-3.5391374746550768,-0.866418901833982
KS,0.327044175148832,0.6158238369926695,0.30201195680939713,0.45200023948332263,0.45207835398965673,-1.4500101755059984,-3.4534322616043696,0.0036666666666666688,-3.4026245919060107,-0.5927679952523233
KY,0.6910228141027639,1.0248718772411225,0.5408108803520263,0.6486504939931503,0.4701857667121919,-0.8001193001121131,-2.9837227305524308,0.006166666666666661,-4.022646538756811,-0.9494273554635839
LA,1.006265681941109,0.8197823791433853,0.3831988921948193,0.41262347743351785,0.35350905483511547,-1.8152899666382492,-3.1480884002353164,0.004166666666666666,-3.9313621608811595,-0.9895549111289571
MA,-0.7572503683013853,-1.0131345536160126,-0.713415838297012,-0.6037456642492303,-0.4804613396516391,-3.4760986898352733,-3.2875723561544357,0.001999999999999995,-2.48254884195044,-0.13621020483454893
MD,-0.7232879468922886,-0.5486434151703945,-0.7094991031540075,-0.5758414124150957,-0.5460438931714426,-2.3136349291806306,-3.547151294285235,0.007000000000000003,-2.5776128992677774,-0.2492829395172453
ME,-0.26910200964452613,-0.06460556758105847,-0.18736237366496572,-0.06389337262531795,-0.3170256672467027,-2.5866893440979424,-3.420311777685471,0.0026666666666667616,-4.267849132869258,-0.5710264960446539
ME-01,-0.5306550997477582,-0.32402248060678845,-0.47803580094299963,-0.3196096669772205,-0.44482005845877454,,,,,
ME-02,-0.5306550997477582,-0.016436298535721094,0.1258093465306123,0.22363005095893052,-0.17705244411394286,,,,,
MI,-0.08261397672182452,-0.013481537167982309,-0.05655744502391949,0.0047067373676199726,-0.19261458795223335,-1.900958761193047,-3.1354942159291497,0.0026666666666666713,-3.3130978383801546,-0.7491800044286803
MN,-0.045204689199529975,-0.08980283203579749,-0.1458384822457821,-0.03327081703418913,-0.1579767884119829,-1.900958761193047,-3.404129176467164,0.00416666666666677,-2.8479720852527963,-0.44311070772453126
MO,0.39891994700762945,0.41148553539611415,0.31603728790915525,0.3979108246449415,0.19173187536230785,-1.2656663733312759,-3.231428290939321,0.007999999999999993,-3.745181690531,-0.7445957423959871
MS,0.6024984252388008,0.40527868385507043,0.338597745020634,0.36768085763787695,0.2331260847665066,-1.0986122886681098,-3.5229346905016423,-0.003333333333333334,-4.442879440758879,-1.1093075777848578
MT,0.4841735154378611,0.3262616447541297,0.3390996513546265,0.45192424606598736,0.28324793779857116,-0.8472978603872036,-3.3518898422979455,0.0048333333333334255,-4.520938187505907,-0.6366685763994746
NC,0.08893743995583556,0.14541656590073565,0.02736900962483307,0.07618666230743215,0.04136729426986911,-1.3249254147435987,-3.2732602272659754,0.0014999999999999944,-3.2926801686471188,-0.5797070684323912
ND,0.50405832129276,1.0685075760120042,0.7180346379977647,0.8382305993625989,0.4101009432083749,-1.2656663733312759,-3.6983175336112435,0.005166666666666667,-4.02984685691128,-0.7629782750632852
NE,0.5820126582304427,1.0128654863356878,0.3964753133106297,0.55578513088818,0.4527543384675407,-1.5856272637403817,-3.5845472161816763,0.003999999999999997,-3.538057401054506,-0.6322523493295719
NE-01,0.31910101258326545,0.8213667379287283,0.2263715919314454,0.46272582897157927,0.343102866393189,,,,,
NE-02,0.053377594457228825,0.024862405689558296,-0.13079840376845367,0.04671762456745957,0.14441289281205646,,,,,
NE-03,1.6009046503221396,9.21024036697596,1.1763212729954262,1.320421616969183,0.9263122903351741,,,,,
NH,-0.19929167522254018,-0.06203782581972652,-0.1502157382131394,-0.007881178488594721,-0.11347167598487176,-1.900958761193047,-3.6567461486281014,0.003166666666666672,-3.418380874037202,-0.3515772268670637
NJ,-0.29811977893296654,-0.2733492916310858,-0.32570033516635255,-0.2934555659410538,-0.3619800162143424,-3.4760986898352733,-2.9983603959602605,0.00350000000000001,-2.1378940829275104,-0.2614797000577567
NM,-0.19095505207442012,-0.19831038497116626,-0.22164252735814258,-0.18657111289704764,-0.21260541506429795,-2.4423470353692043,-3.213343307298475,0.0006666666666666696,-3.916738034092209,-0.8236000689573807
NV,0.039691895010597,-0.0988967474089121,-0.04893445605724437,-0.05175992949810665,-0.13651329597305384,-2.4423470353692043,-2.8930137673590033,0.0015000000000000013,-2.261210057219215,-0.9946225751440619
NY,-0.37000378349864477,-0.5603139683441732,-0.47754649826013873,-0.4799006390033767,-0.5873604017849051,-3.1780538303479453,-3.1189249725206984,0.0003333333333333313,-2.239369417283125,-0.4054651081081643
OH,0.23490000851024553,0.3024097685024311,0.16343070090052217,0.17112375342991498,-0.06058079176144325,-1.5856272637403817,-3.0550488507104103,0.009999999999999995,-3.566086801921017,-0.7537718023763801
OK,0.7712551643504906,1.2322440128827936,0.7054743881290646,0.8144049270278251,0.697905348328666,-1.0986122886681098,-3.306955813079362,0.003333333333333334,-3.6307062143283586,-0.9197933624253573
OR,-0.18249939534432294,-0.25257849816464306,-0.33539536342196524,-0.24748911140367866,-0.2521746012035074,-1.8152899666382492,-3.1230437697802214,0.00516666666666666,-2.9192061426891387,-0.5623668213073126
PA,0.1215191763692308,0.17583698976609544,-0.023569301399106103,0.015021714766457417,-0.10938630028964562,-1.5856272637403817,-3.3468033095963565,0.0,-3.1507875343643597,-0.6146464932382243
RI,-0.3240600896788276,-0.6234689815992103,-0.4305022672765785,-0.335541277167079,-0.5760910409010173,-4.59511985013459,-3.066745574508133,0.014500000000000006,-3.263150000207038,-0.4221599866803344
SC,0.8128922645138426,0.37649139273130955,0.2381840458160633,0.30065473167531953,0.21313335315856272,-0.9444616088408512,-3.297220470514229,0.005666666666666667,-3.893431361789885,-0.7263327295455992
SD,1.232293967216106,0.5798281330349754,0.5509147701188709,0.6620403725546822,0.3730054101803163,-0.8953840470548413,-3.817967851702514,0.0014999999999999979,-4.006259407669678,-0.7722157040356383
TN,0.5816564917619332,0.5752428095936378,0.4822443441548135,0.5590963634591801,0.420114779492604,-0.7537718023763801,-3.4478402398744397,-0.0021666666666666674,-3.8534892076588076,-0.7954483588344246
TX,0.32005591667986655,0.2815175105796487,0.11335005609298276,0.18909042957999456,0.3230975884861766,-1.900958761193047,-3.1608298427140564,0.0016666666666666705,-2.802928144855315,-0.6677537324712365
UT,0.6701195869615114,0.684517207666689,0.43445111513838625,0.5058323946047941,1.0787739199255493,-3.8918202981106265,-3.4367434508467642,0.005166666666666667,-3.5487109367529137,-0.49379487685105233
VA,-0.09395243748853548,-0.059085844879678405,-0.20692264932283916,-0.11317569971949523,-0.07873571796548913,-1.8152899666382492,-3.597312260588446,-0.002333333333333236,-2.535126800961537,-0.31456855463636585
VT,-0.8115012201431492,-2.1961813040854654,-0.7675555152420882,-0.6272439031440795,-0.7651582117539766,-2.4423470353692043,-3.748992436113633,0.002999999999999999,-3.859775471106985,-0.2330490803036129
WA,-0.30025285553551356,-0.12386064653403436,-0.40236203485484306,-0.3551641617603114,-0.30753300910284914,-2.0907410969337694,-2.951478782967213,0.008666666666666767,-2.1473398672274713,-0.4263426931297195
WI,0.32882188838703225,-0.1606603206729631,-0.012762703898003056,0.016319923732126866,-0.13875941296871927,-2.0907410969337694,-3.4257609370154634,0.0015000000000000013,-3.3978533592567786,-0.699153204620157
WV,0.74022482382877,0.7090039201376609,0.8377224604493905,0.9524644194753312,0.5612554453586428,-0.7537718023763801,-3.062832808437206,0.005666666666666667,-4.681811185555876,-1.1093075777848578
WY,1.0289086582270535,0.7273013527329719,0.9684194258133764,1.1365910188851716,0.9031984440004135,-1.3249254147435987,-3.404129176467164,0.003166666666666769,-4.481427797808928,-0.866418901833982
